ano,identificacao,tipo,autoria,casa,data_apresentacao,situacao,virou_norma,tema,ementa,codigo_materia,url
2020,PL 5543/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-03-07,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,Institui o Dia Nacional do Cirurgião Oncológico.,156061,https://legis.senado.gov.br/sdleg-getter/documento?dm=9281654
2020,PL 5486/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-03-23,TRANSFORMADA EM NORMA JURÍDICA,True,Assistência e Direitos,"Altera a Lei nº 13.146, de 6 de julho de 2015 (Estatuto da Pessoa com Deficiência), para instituir o uso do cordão de fita com desenhos de girassóis para a identificação de pessoas com deficiências ocultas.",156476,https://legis.senado.gov.br/sdleg-getter/documento?dm=9296775
2020,PL 3765/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-03-30,TRANSFORMADA EM NORMA JURÍDICA,True,Outros,"Altera a Lei nº 13.802, de 10 de janeiro de 2019, para dispor sobre as ações desenvolvidas durante as atividades do Julho Amarelo.",156598,https://legis.senado.gov.br/sdleg-getter/documento?dm=9305305
2020,PL 2994/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-04-24,REMETIDA À CÂMARA DOS DEPUTADOS,False,Outros,"Altera a Lei nº 11.771, de 17 de setembro de 2008, para dispor sobre o turismo colaborativo.",157078,https://legis.senado.gov.br/sdleg-getter/documento?dm=9322896
2020,PL 10/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-05-09,TRANSFORMADA EM NORMA JURÍDICA,True,Outros,Inscreve o nome do Padre Cícero Romão Batista no Livro dos Heróis e Heroínas da Pátria.,157325,https://legis.senado.gov.br/sdleg-getter/documento?dm=9353258
2020,PL 4222/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-08-10,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,"Denomina Ponte Deputado Ernesto Gurgel Valente a ponte sobre o Rio Jaguaribe na rodovia BR-304, ao lado da Ponte Juscelino Kubitschek, no Município de Aracati, Estado do Ceará.",159123,https://legis.senado.gov.br/sdleg-getter/documento?dm=9430281
2020,PL 557/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-08-10,TRANSFORMADA EM NORMA JURÍDICA,True,Educação,"Altera a Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para incluir a obrigatoriedade de abordagens fundamentadas nas experiências e nas perspectivas femininas nos conteúdos curriculares do ensino fundamental e médio; e institui a Semana de Valorização de Mulheres que Fizeram História no âmbito das escolas de educação básica do País.",159122,https://legis.senado.gov.br/sdleg-getter/documento?dm=9430290
2020,PL 5384/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-08-23,TRANSFORMADA EM NORMA JURÍDICA,True,Educação,"Altera a Lei nº 12.711, de 29 de agosto de 2012, para dispor sobre o programa especial para o acesso às instituições federais de educação superior e de ensino técnico de nível médio de estudantes pretos, pardos, indígenas e quilombolas e de pessoas com deficiência, bem como daqueles que tenham cursado integralmente o ensino médio ou fundamental em escola pública.",159365,https://legis.senado.gov.br/sdleg-getter/documento?dm=9438210
2020,PL 4852/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-09-05,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,"Confere ao Município de Canela, no Estado do Rio Grande do Sul, o título de Capital Nacional dos Parques Temáticos.",159778,https://legis.senado.gov.br/sdleg-getter/documento?dm=9450352
2020,PL 25/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-09-05,TRANSFORMADA EM NORMA JURÍDICA,True,Outros,Inscreve o nome de Dulcina de Moraes no Livro dos Heróis e Heroínas da Pátria.,159781,https://legis.senado.gov.br/sdleg-getter/documento?dm=9450421
2020,PL 5090/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-10-10,TRANSFORMADA EM NORMA JURÍDICA,True,Saúde,"Torna obrigatória a realização de exame clínico destinado a identificar a Fibrodisplasia Ossificante Progressiva (FOP) nos recém-nascidos na triagem neonatal das redes pública e privada de saúde, com cobertura do Sistema Único de Saúde (SUS).",160468,https://legis.senado.gov.br/sdleg-getter/documento?dm=9479783
2020,PL 4719/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-11-07,TRANSFORMADA EM NORMA JURÍDICA,True,Saúde,"Estabelece a isenção de tributos federais para a doação de medicamentos à União, aos Estados, ao Distrito Federal e aos Municípios, às santas casas de misericórdia, à Cruz Vermelha Brasileira e a entidades beneficentes certificadas na forma da Lei Complementar nº 187, de 16 de dezembro de 2021.",160918,https://legis.senado.gov.br/sdleg-getter/documento?dm=9495800
2020,PL 394/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-12-22,TRANSFORMADA EM NORMA JURÍDICA,True,Outros,"Cria a Rota Turística Histórica Belém-Bragança, no Estado do Pará.",161800,https://legis.senado.gov.br/sdleg-getter/documento?dm=9534945
2020,PL 5195/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-12-22,TRANSFORMADA EM NORMA JURÍDICA,True,Assistência e Direitos,"Altera a Lei nº 13.819, de 26 de abril de 2019, que institui a Política Nacional de Prevenção da Automutilação e do Suicídio, para prever ações direcionadas às pessoas com deficiência.",161832,https://legis.senado.gov.br/sdleg-getter/documento?dm=9534960
2020,PL 3989/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2023-12-22,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,"Confere o título de Capital Nacional da Moda Íntima ao Município de Nova Friburgo, no Estado do Rio de Janeiro.",161809,https://legis.senado.gov.br/sdleg-getter/documento?dm=9535025
2020,PL 528/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2024-03-19,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,True,Saúde,"Dispõe sobre a promoção da mobilidade sustentável de baixo carbono e a captura e a estocagem geológica de dióxido de carbono; institui o Programa Nacional de Combustível Sustentável de Aviação (ProBioQAV), o Programa Nacional de Diesel Verde (PNDV) e o Programa Nacional de Descarbonização do Produtor e Importador de Gás Natural e de Incentivo ao Biometano; e altera as Leis nºs 9.478, de 6 de agosto de 1997, 9.847, de 26 de outubro de 1999, 8.723, de 28 de outubro de 1993, e 13.033, de 24 de setembro de 2014.",162696,https://legis.senado.gov.br/sdleg-getter/documento?dm=9568879
2020,PL 4262/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2024-05-09,TRANSFORMADA EM NORMA JURÍDICA,True,Assistência e Direitos,"Altera a Lei nº 12.764, de 27 de dezembro de 2012, que institui a Política Nacional de Proteção dos Direitos da Pessoa com Transtorno do Espectro Autista, para especificar a terapia nutricional a ser aplicada à pessoa com transtorno do espectro autista.",163446,https://legis.senado.gov.br/sdleg-getter/documento?dm=9603006
2020,PL 4030/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2024-05-09,TRANSFORMADA EM NORMA JURÍDICA,True,Homenagens/Denominações,Institui o Dia Nacional do Brincar.,163469,https://legis.senado.gov.br/sdleg-getter/documento?dm=9603132
2020,PL 24/2020,Projeto de Lei Ordinária,Câmara dos Deputados,SF,2024-05-09,TRANSFORMADA EM NORMA JURÍDICA,True,Outros,"Reconhece as expressões artísticas charge, caricatura, cartum e grafite como manifestações da cultura brasileira.",163480,https://legis.senado.gov.br/sdleg-getter/documento?dm=9603440
